ind_num	score	content
1	1	总体 来说 。 还是 不错 的 。   120hz 的 屏幕 用惯 了 。 以前 的 60hz 怎么 用 都 觉得 卡顿   。 外观设计 很 符合 审美 。 活动 买来 用来 做 设计 开发 的 。 ， 为什么 什么 礼品 都 没有 送 的 。 有点 吝啬 。     优点 ：   显色 好 ， 色域 高 。 对 图像 要求 高 的 人 来说 是 福音 ， 做 设计 完美 。   预装 的 激活 版本 office 不错 ， 没有 广告 。 内置 音质 不错 ， 自带 后期 处理 ， 环绕 立体声 。 游戏 完美 流畅 运行 ， 没有 画面 撕裂 。 电脑 没有 捆绑 程序 这点 不错 。 自带 的 McAFee 防火墙 很赞 ， 比 国内 防火墙 + 软件 捆绑 + 推送   好太多 了 。 而且 靠 谱 。 缺点 ：   散热 是 通病 ， 散热器 声音 有点 大 。 其次 是 正版 的 系统   很多 HP 的 程序 在 执行 （ 我 也 不 知道 是 什么 ， 不敢 瞎关 ） 。 待机 状态 内存 占 比 45% + 。 这个 就 莫名其妙 的 高 了 。 建议 大型 游戏 发烧 党 预装 一个 内存条 。   电脑 有 很小 的 滋滋 响声 ， 问 吧 友 说 是 笔记本 编译 的 通病 ， 都 会 有点 。 不 知道 是不是 。   总结 ： 购物 体验 良好 ， 利大于弊 。 都 在 可 接受 范围 内 。 如果 为 玩游戏 买 笔记本 。 真心 推荐 买 120hz 以上 的 屏幕 ，   用 了   你 就 在 不想 用 120 以下 的 电脑屏幕 了 。 若 是 图形 设计   在 经费 没 达到 买 苹果 本 的 时候 。 这款 是 个 不错 的 选择 。
2	1	我 是 个 小白         刚刚 入手       其实 内心 还是 很 慌 的       选 了 好多 台     最后 还是 选择 惠普       觉得 会 可靠 一点 吧       今天 刚 到货     按照 指示 激活     使用       现在 还 没 玩游戏       跑 分 21 万     温度 压力 测试 感觉 也 很 正常 cpu 一直   60 & deg ; 以内     然后 慢慢 升高     后续 的 游戏 体验         正在 下载 。 。 。 。 后续 跟评     。 。 。 最后 校园 京东 不 给 送 ！     很 气     预计 2 号 到     3 号 发短信 告诉 我 自己 拿 。 。 东西 没 问题 这些 都 无所谓 的     后续 会 跟 的 。 。 。 。
3	1	我 是 个 小白         刚刚 入手       其实 内心 还是 很 慌 的       选 了 好多 台     最后 还是 选择 惠普       觉得 会 可靠 一点 吧       今天 刚 到货     按照 指示 激活     使用       现在 还 没 玩游戏       跑 分 21 万     温度 压力 测试 感觉 也 很 正常 cpu 一直   60 & amp ; deg ; 以内     然后 慢慢 升高     后续 的 游戏 体验         正在 下载 。 。 。 。 后续 跟评     。 。 。 最后 校园 京东 不 给 送 ！     很 气     预计 2 号 到     3 号 发短信 告诉 我 自己 拿 。 。 东西 没 问题 这些 都 无所谓 的     后续 会 跟 的 。 。 。 。
4	1	之前 一直 犹豫 买 哪个 品牌 的 游戏 本 ， 因为 自己 就 想 有 一个 可以 省心 玩游戏 的 本子 ， 不想 总去 折腾 这 折腾 那 的 ， 考虑 过 戴尔 游匣 和 联想 拯救 者 以及 宏碁 暗影 骑士 ， 后来 看 了 好多 惠普 暗夜精灵 3 的 评价 以及 网上 的 评测 等等 ， 再 加上 自己 问 朋友 们 ， 综合 考虑一下 选了 这款 本本 ， 用 了 一 下午 ， 感觉 本本 的 速度 ， 以及 散热 ， 尤其 是 屏幕 真 不是 盖 的 ， 相当 强悍 ， 总之 一句 话 选 了 惠普 暗夜精灵 3 不 后悔 ， 以后 会 一如既往 的 支持 惠普 ， 赞赞 赞赞 赞赞 赞赞 赞赞 赞赞
5	1	五星 好评 ！ 11.2 号 早上 下单 ， 6998 ， 还行 吧 。 拆 的 时候 看到 一些 指纹 等等 痕迹 ， 略 * * ， 不过 鲁 大师 测试 硬盘 使用 5 小时 ， 应该 没 啥 问题 ， 跑 分 24 万 ， 666 。 屏幕 中轴 不 对称 ， 不过 无所谓 啦 ， 字体 看起来 的确 不太 舒服 ， win10 的 过 ， 好 的 方面 就 不 说 啦 ， 看 介绍 就 好 ， 对 了 ， 硬盘 的确 有着 咔 咔 咔 的 声音 ， 希望 用 两天 之后 声音 能 小点 吧 。 sjtu _ me 。
6	1	总的来说 还是 很 满意 的 ， 第一次 在 京东 上 买 ， 到手 之前 一直 在 担心 会 不会 翻车 ， 好 在 还是 没有 让 我 失望 ， 我学 设计 的 又 想 兼顾 打游戏 ， 看 了 很多 款 最终 才 定下 这个 ， 但是 对于 一个 女生 来说 这个 真的 很重 很重 ， 而且 风扇 声音 好大 ， 我 没有 玩游戏 都 会 一阵一阵 地 发出 奇怪 的 声音 ， 最 重要 的 是 这个 外观 比 暗影 精灵 2pro 好看 多 了 ， 颜控 哈哈哈
7	1	买 完 当天 就 到 了 ， 首先 还是 看起来 比较 酷 ， 摸 起来 很 舒服 ， 作为 游戏 本 的话 并 不重 ， 开机 响应速度 很快 。 跑 分 正常 水平 ， 看 电池 损耗 与 磁盘 通电 时间 就 知道 是 新机 。 感觉 没有 网上 说 的 那么 玄呼 ， 还 没有 体验 游戏 ， 一会 试试 。 感觉 很 屏幕 很 不错 ， 整体 感觉 很 满意 。
8	1	第一台 左下角 有 漏光 并且 闪烁   但是 听说 ips 屏 都 这样   犹豫 很久 很 不 甘心 还是 决定 换货   结果 第二台 非常 完美   。 可以 较 流畅 运行 巫师 三 极致 画质   吃 鸡 优化 太 差 画质 不能 调 到 最佳 。 另外 就是 希望 steam 心愿 单里 的 游戏 可以 天天 打折   天天新 史低 了 （ 伐 可能 。 一点 小 感受 就是 ： 一 开始 担心 i7 压不住 1050ti 没上 i7   如果 可以 重选 我 一定 会上 i7   贵 不到 一千块 但是 处理器 还是 好 一截   毕竟 笔记本 也 要 用 几年 。 再就是 明年 i9 就 开始 出货 了   i5 多少 觉得 有点 落后 了 。 当然   购买 还是 看 个人 需求
9	1	成功 上车 ， 感觉 好 ， 不 漏光 ， 三星 内存 ， 建兴 固态 ， 感觉 差不多 ， 也 不求 三星 固态 了 ， 客服 挺 好 ， 五星 ，
10	1	一直 要 买个 笔记本 ！ 从 很多 牌子 考虑 过 ！ 直到 看到 了 惠普 暗影 精灵 3 ！ 其他 品牌 的 就 都 放弃 了 ！ 去过 实体店 看过 此款 ！ 做工 手感 确实 不错 ！ 也 对比 了 其他 大 品牌 的 ！ 可以 说 是 秒杀 ！ 而且 京东 自营 很 放心 ！ 玩 吃 鸡 完全 没 问题 ！ 正在 练习 中 ！ 哈哈哈
